id,cookie
0,0110x011
1,05Harley
2,0tt0
3,1000Bottles
4,100floods
5,1099.0
6,1121987.0
7,11osixBrew
8,11thFloorBr
9,130guy
10,1759Girl
11,1Adam12
12,1fastz28
13,1morebeer
14,1quiks10
15,1whiskey
16,20ozmonkey
17,220emaple
18,2378GCGTG
19,2BDChicago
20,2KHokie
21,2LBrew
22,2Stout4u
23,2ndstage
24,2roosters
25,2wheeledpir
26,2xHops
27,31thadrty1
28,321jeff
29,32hoss32
30,33nickadams
31,3FaveryRogu
32,3Hovsepians
33,3Vandoo
34,3frog
35,3leggeddub
36,3rdRowTailg
37,4000qtrap
38,44ouncer
39,49degrees
40,4DAloveofST
41,4thoseabout
42,51mmz0rz
43,57andcounti
44,57md
45,6470zzy
46,67cuda
47,6DaysBottom
48,6stringfunk
49,6thomas3
50,77ships
51,7UCK
52,7ate9
53,7beerphil
54,7thInningSu
55,7ways
56,815Sox
57,828beagle
58,86MonteSS
59,86sportster
60,89Vision
61,908carson
62,973423.0
63,99bottles
64,9InchNails
65,A380
66,AARomanov
67,AAxsom
68,ABCJiugui
69,ABHatter
70,ABOWMan
71,ABVerageJoe
72,AChamberlai
73,ADR
74,ADTaber
75,ADZA
76,AEArider
77,AEK
78,AJacob81
79,AKBelgianBe
80,ALEBOY
81,ALESwhatCUR
82,ALeF
83,AMo
84,AMoceri7
85,ASymon13
86,ATGHomebrew
87,ATLbeerDog
88,ATPete
89,ATSJer
90,AVDeuph
91,AWolfAtTheD
92,AZTEX
93,Aaron420
94,AaronHomoya
95,AaronRed
96,AbePhroman
97,Aberration
98,Abita45
99,Absumaster
100,AccidentalK
101,ActonBrewer
102,Adam2200
103,AdamBear
104,AdamGarcia
105,AdamJackson
106,AdamMY
107,Adamdc
108,Adamostella
109,Adamthome1
110,AdmiralDiaz
111,Admiraldint
112,Adrianized
113,AdvocateFan
114,Aenema
115,Afterburner
116,Agent0040oz
117,Agent1
118,AgentMunky
119,AgentZero
120,AgingWarrio
121,Agold
122,Aguirre
123,Ahhdball
124,Ahoyhoyinde
125,Aiptasia
126,Aircow86
127,Airedoggie
128,Airyk12
129,AlCaponeJun
130,AlFromBaySh
131,AlHam
132,AlbertF
133,Albertv05
134,Albinoh
135,AlcahueteJ
136,AleDrinkToT
137,AleEvangeli
138,AleWatcher
139,AleWerks
140,AlephNull
141,AlesALot
142,AlesRTasty
143,Alewife
144,AlexCorleon
145,AlexCuse
146,AlexF
147,AlexFields
148,AlexJ
149,AlexLMS
150,AlexMunse
151,AlexTheAleM
152,AlexanderSe
153,Alexmc2
154,Alieniloqui
155,Alkey
156,AllFineThin
157,AllHatDavid
158,AllThingsNi
159,Allcor
160,AlleywayRov
161,Allpe45
162,Allthekings
163,Alpar
164,Alston73
165,AltBock
166,AltTrinker
167,Amalak
168,AmberMan22
169,Ambiorix
170,Amdahl
171,AmericanGot
172,AmishT
173,AmorousAnge
174,Amsterdam
175,AnPiobaire
176,AnalogReign
177,Anaz
178,AndIWantYou
179,Andbrew
180,AndoBrew
181,AndreiX
182,Andreji
183,Andrew644
184,AndrewMcLem
185,AndrewNatio
186,Andrewthero
187,Andy
188,AndyAvalanc
189,AndySR15
190,Angus703
191,Anonmatel
192,Another6Pac
193,AnswerInQue
194,Anthony1
195,Anthony88
196,Antikythera
197,Antilochus
198,Apellonious
199,Aphexwolf
200,Applesauce1
201,Arbitrator
202,ArcTeryx
203,Archemedies
204,Ardon
205,Arenbeer
206,Arinthos
207,Arithmeticu
208,ArizonaAl
209,Armand
210,Arnie2709
211,ArrogantB
212,ArrogantBas
213,ArrogantDea
