beer/name, beer/beerId, beer/brewerId, beer/ABV, beer/style, review/appearance, review/aroma, review/palate, review/taste, review/overall, review/profileName
Sausa Weizen,47986,10325,5.00,Hefeweizen,2.5,2,1.5,1.5,1.5,stcules
Red Moon,48213,10325,6.20,English Strong Ale,3,2.5,3,3,3,stcules
Black Horse Black Beer,48215,10325,6.50,Foreign / Export Stout,3,2.5,3,3,3,stcules
Sausa Pils,47969,10325,5.00,German Pilsener,3.5,3,2.5,3,3,stcules
Cauldron DIPA,64883,1075,7.70,American Double / Imperial IPA,4,4.5,4,4.5,4,johnmichaelsen
Caldera Ginger Beer,52159,1075,4.70,Herbed / Spiced Beer,3.5,3.5,3,3.5,3,oline73
Caldera Ginger Beer,52159,1075,4.70,Herbed / Spiced Beer,3.5,3.5,4,4,3.5,Reidrover
Caldera Ginger Beer,52159,1075,4.70,Herbed / Spiced Beer,3.5,2.5,2,3.5,3,alpinebryant
Caldera Ginger Beer,52159,1075,4.70,Herbed / Spiced Beer,3.5,3,3.5,4,4,LordAdmNelson
Caldera Ginger Beer,52159,1075,4.70,Herbed / Spiced Beer,5,3.5,4,4,4.5,augustgarage
Caldera Ginger Beer,52159,1075,4.70,Herbed / Spiced Beer,4,5,4,4,5,MadeInOregon
Caldera Ginger Beer,52159,1075,4.70,Herbed / Spiced Beer,4,4,3.5,4,4,rawthar
Caldera Ginger Beer,52159,1075,4.70,Herbed / Spiced Beer,3,4.5,2.5,3,4,Halcyondays
Caldera Ginger Beer,52159,1075,4.70,Herbed / Spiced Beer,3,4,3,4,3.5,RangerClegg
Caldera Oatmeal Stout,10789,1075,7.20,Oatmeal Stout,2.5,3,3,3,3,Beerandraiderfan
Caldera Oatmeal Stout,10789,1075,7.20,Oatmeal Stout,2.5,1.5,2.5,2,2,RedDiamond
Caldera OBF 15,12386,1075,5.60,American Pale Lager,4,3,4,4,4,beerguy101
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3,4.5,4,4.5,4.5,UCLABrewN84
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4,3,4,4,zaphodchak
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4.5,3.5,4,4,Tilley4
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4.5,5,4,4.5,4.5,mikedrinksbeer2
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4.5,4,4.5,4,dbmernin83
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4.5,4,4.5,4.5,titosupertramp
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3.5,5,3.5,5,5,optimator13
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4.5,4,4.5,4.5,Blakaeris
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,5,4,4,4.5,bashiba
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3.5,4.5,4,4.5,4.5,Klym
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4.5,4,4,4.5,flexabull
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4.5,4,5,5,Bung
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4.5,4,4,4,4,oberon
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4.5,4,4,4.5,t420o
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4,4,4,4,DarthKostrizer
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3,4,4,4,4,MrVonzipper
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3,4.5,2,3,3,Beerandraiderfan
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4.5,4.5,4,3.5,4,TheWhiskerReview
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4.5,3.5,4,3.5,3.5,Elimination
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4,4.5,4.5,4.5,DoubleJ
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3.5,4.5,4,5,5,Deuane
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4,4,4,4,Mattybeerguy
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3.5,4,4,4,4,micromaniac129
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3.5,5,3.5,4,3.5,beagle75
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3.5,4,4,4,4,northyorksammy
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4,4.5,4,4.5,vette2006c5r
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,3.5,3,3.5,4,EvanEngelstad
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4,4,4.5,4.5,djeucalyptus
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3.5,4,4.5,4,4,ccrida
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,3.5,3.5,3.5,3.5,cooch69
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4,3.5,3.5,3.5,DogFood11
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4.5,4,4.5,4,brewandbbq
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,3.5,4,4,3.5,Fatehunter
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3,4.5,4.5,4.5,4.5,hopsbreath
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3.5,4.5,4,5,4.5,augustgarage
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4.5,4,4,4.5,Slatetank
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3.5,5,4.5,4.5,4.5,Jason
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4,4,4,4,Proteus93
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4.5,4,4.5,4,SShelly
Rauch Ür Bock,58046,1075,7.40,Rauchbier,4,4.5,3.5,4,4,zoso1967
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3.5,4.5,3.5,4,4,Halcyondays
Rauch Ür Bock,58046,1075,7.40,Rauchbier,3.5,4.5,4.5,4,4,msubulldog25
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4,4,4,NJpadreFan
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3,3.5,2.5,2.5,vacax
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,3.5,4,d0ggnate
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3.5,4,4.5,babyhobbes
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,4,4.5,mdagnew
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,3.5,4,4,4,mikesgroove
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,4,4,hdofu
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,3.5,4,3.5,argock
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,3.5,3.5,3.5,Seanibus
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,4,4.5,4,5,GratefulBeerGuy
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4.5,4.5,4.5,PDXHops
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4,4,IMincedTheKing
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,3.5,4,Goliath
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4,4.5,4,zeff80
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,4,4,akorsak
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3,3.5,4,4,wchesak
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4,3.5,3.5,beer2day
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),2.5,3.5,3.5,4,4,bfields4
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,3.5,4,dyan
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,3.5,3.5,3.5,Monkeyknife
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,3.5,3.5,4.5,HopDerek
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,4,4,4,4.5,djeucalyptus
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,5,5,mtrentm
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,4,4,4,5,maximum12
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,3.5,3.5,3.5,blackie
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,3.5,4,4,JayQue
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,4,3.5,4.5,bbothen
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,3.5,4,Kegatron
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4.5,3.5,4,CrellMoset
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3,3.5,3.5,3.5,beerman21
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4,4,BeerSox
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,3,4,3.5,Proteus93
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,3,3.5,3.5,hopdog
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3.5,3.5,3.5,4,gford217
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3,4,4,4,thehand
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4.5,4,4.5,GbVDave
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,3,3,2.5,3,dfitch81
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,3.5,4,3.5,3.5,RJLarse
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,4.5,4.5,4.5,4.5,SurlyDuff
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,3,3.5,4,Wetpaperbag
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,4,4,4.5,largadeer
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4.5,3.5,3.5,3.5,cswhitehorse
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,4,4,4,elniko
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4,4,3.5,4,4.5,deltatauhobbit
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,4,4,3.5,4,woemad
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,4.5,4,4.5,czechsaaz
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),4.5,4,4,4,4,Wasatch
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,3.5,4,4.5,oberon
Caldera Pale Ale,25414,1075,5.50,American Pale Ale (APA),3.5,4,4,3.5,3.5,MuenchenerKindl
